generation,member_0,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8,member_9,best_so_far,elapsed_sec
0,0.4803,0.4418,0.4686,0.4785,0.4735,0.4778,0.4641,0.4716,0.4622,0.4722,0.4803,74.95180487632751
1,0.5413,0.5101,0.517,0.516,0.5107,0.5199,0.5115,0.498,0.512,0.5183,0.5413,57.54311728477478
2,0.5743,0.548,0.5583,0.5358,0.548,0.556,0.5461,0.5583,0.5508,0.5599,0.5743,38.855323791503906
3,0.6072,0.5759,0.5783,0.5608,0.5754,0.5686,0.5707,0.5856,0.5846,0.5878,0.6072,24.10633873939514
4,0.6195,0.5924,0.6027,0.5859,0.5989,0.6016,0.6022,0.6003,0.597,0.6145,0.6195,23.7526752948761
5,0.633,0.6127,0.6173,0.606,0.6176,0.6207,0.6311,0.6215,0.6322,0.639,0.639,23.720646858215332
6,0.6451,0.6311,0.6299,0.6198,0.6272,0.6384,0.6353,0.6408,0.6264,0.6442,0.6451,23.81743025779724
7,0.6484,0.642,0.6454,0.643,0.6415,0.6442,0.6472,0.6497,0.6496,0.6512,0.6512,23.850950956344604
8,0.6633,0.6497,0.6511,0.6425,0.6544,0.6574,0.6585,0.6575,0.6609,0.6634,0.6634,24.117499828338623
9,0.6758,0.6548,0.6499,0.6594,0.6605,0.6541,0.6662,0.6667,0.6627,0.6535,0.6758,24.6393563747406
10,0.6802,0.6678,0.6618,0.6673,0.6674,0.6643,0.6695,0.6599,0.6678,0.6763,0.6802,26.833123445510864
11,0.6863,0.6661,0.6715,0.6757,0.672,0.6747,0.6786,0.6638,0.6657,0.6802,0.6863,23.95795512199402
12,0.6898,0.6751,0.665,0.6734,0.6787,0.679,0.6724,0.6869,0.6853,0.6808,0.6898,24.325620651245117
13,0.6999,0.6749,0.6786,0.6847,0.6849,0.6872,0.6856,0.6859,0.686,0.6942,0.6999,24.021070957183838
14,0.7002,0.681,0.6877,0.6814,0.6881,0.6834,0.687,0.685,0.6857,0.6988,0.7002,23.900463581085205
15,0.7008,0.6808,0.6899,0.6863,0.6939,0.6907,0.6975,0.6944,0.6967,0.6974,0.7008,24.04111385345459
16,0.7045,0.6917,0.6921,0.6882,0.7017,0.6976,0.6965,0.6926,0.699,0.7078,0.7078,23.94881010055542
17,0.7009,0.6941,0.7019,0.7027,0.6976,0.6939,0.7064,0.7056,0.704,0.7111,0.7111,24.09792923927307
18,0.7109,0.6983,0.6942,0.6887,0.6992,0.7019,0.7007,0.6988,0.7062,0.709,0.7111,24.16598415374756
19,0.7105,0.6948,0.6968,0.7009,0.7058,0.7023,0.7108,0.7106,0.7077,0.7046,0.7111,25.894317626953125
