dataset,method,best_acc,best_acc_pct,time_sec,history_csv
cifar10,adam,0.7114,71.14,2611.2,runs\cifar10_adam\history.csv
cifar10,de,0.7111,71.11,608.0,runs\cifar10_de\history.csv
cifar10,ga,0.6859,68.59,483.3,runs\cifar10_ga\history.csv
cifar10,mcts,0.7099,70.99,488.0,runs\cifar10_mcts\history.csv
fashion_mnist,adam,0.9088,90.88,45.6,runs\fashion_mnist_adam\history.csv
fashion_mnist,de,0.9124,91.24,276.4,runs\fashion_mnist_de\history.csv
fashion_mnist,ga,0.9057,90.57,286.1,runs\fashion_mnist_ga\history.csv
fashion_mnist,mcts,0.9096,90.96,286.3,runs\fashion_mnist_mcts\history.csv
mnist,adam,0.9917,99.17,75.2,runs\mnist_adam\history.csv
mnist,de,0.9922,99.22,325.9,runs\mnist_de\history.csv
mnist,ga,0.99,99.0,244.2,runs\mnist_ga\history.csv
mnist,mcts,0.9924,99.24,240.0,runs\mnist_mcts\history.csv
