generation,member_0,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8,member_9,best_so_far,elapsed_sec
0,0.8016,0.7963,0.7883,0.7896,0.7854,0.7912,0.7806,0.7892,0.7846,0.781,0.8016,18.839123725891113
1,0.8264,0.7869,0.694,0.7842,0.8278,0.8056,0.7112,0.815,0.7788,0.797,0.8278,12.172985315322876
2,0.8274,0.7762,0.8154,0.7006,0.8453,0.8354,0.7614,0.3227,0.7815,0.7228,0.8453,12.294371128082275
3,0.8027,0.8142,0.1078,0.7687,0.8581,0.7887,0.629,0.8286,0.7763,0.8139,0.8581,12.205532550811768
4,0.8181,0.8079,0.8023,0.8431,0.8634,0.5376,0.7555,0.7958,0.7494,0.8199,0.8634,12.16885757446289
5,0.7336,0.7884,0.8318,0.8326,0.8659,0.6781,0.7907,0.0998,0.8554,0.4832,0.8659,12.228316307067871
6,0.8425,0.8088,0.6603,0.8253,0.8755,0.7746,0.8243,0.8527,0.8258,0.8443,0.8755,12.327974081039429
7,0.857,0.622,0.792,0.5777,0.8796,0.7382,0.8388,0.856,0.8391,0.6981,0.8796,13.326233386993408
8,0.3725,0.8088,0.5239,0.6431,0.8826,0.7644,0.8629,0.8614,0.835,0.5983,0.8826,22.602729320526123
9,0.5741,0.6874,0.772,0.7394,0.8828,0.832,0.8256,0.8612,0.8354,0.6651,0.8828,22.749284029006958
10,0.7259,0.7703,0.8287,0.8523,0.8843,0.7179,0.8569,0.794,0.8535,0.7936,0.8843,22.52302861213684
11,0.8367,0.8082,0.2425,0.8091,0.8951,0.8593,0.8072,0.8012,0.8659,0.8417,0.8951,16.672433376312256
12,0.8363,0.8302,0.867,0.799,0.8965,0.7459,0.8631,0.8719,0.8014,0.7983,0.8965,11.721383810043335
13,0.8193,0.7756,0.7597,0.8561,0.894,0.7595,0.7712,0.871,0.8409,0.8204,0.8965,11.736845016479492
14,0.835,0.8716,0.7414,0.7634,0.8982,0.7658,0.7519,0.8438,0.8062,0.8187,0.8982,11.766047954559326
15,0.7839,0.7573,0.7484,0.7665,0.8983,0.8519,0.7919,0.8404,0.8172,0.7749,0.8983,11.825349569320679
16,0.8088,0.5248,0.8568,0.7929,0.9016,0.8254,0.83,0.8138,0.8013,0.7788,0.9016,11.785681247711182
17,0.8269,0.8073,0.8059,0.8467,0.9045,0.809,0.8281,0.851,0.8561,0.9037,0.9045,11.804616928100586
18,0.8235,0.4973,0.5102,0.7914,0.9018,0.8427,0.8535,0.8315,0.7929,0.8585,0.9045,11.82744574546814
19,0.8659,0.8275,0.6544,0.7584,0.9057,0.8403,0.6402,0.8244,0.8301,0.8903,0.9057,11.852425813674927
