generation,member_0,best_so_far,elapsed_sec
0,0.922,0.922,9.693419218063354
1,0.9681,0.9681,2.268371105194092
2,0.9781,0.9781,2.2131314277648926
3,0.9821,0.9821,2.27282452583313
4,0.9844,0.9844,2.2409021854400635
5,0.987,0.987,2.24524188041687
6,0.9882,0.9882,2.2591288089752197
7,0.9882,0.9882,2.2311055660247803
8,0.9885,0.9885,2.2858200073242188
9,0.9895,0.9895,2.2141871452331543
10,0.9898,0.9898,2.2810916900634766
11,0.9896,0.9898,2.1978321075439453
12,0.9904,0.9904,2.2632181644439697
13,0.9903,0.9904,2.2549164295196533
14,0.9908,0.9908,2.2470717430114746
15,0.9911,0.9911,2.2606313228607178
16,0.9902,0.9911,2.2531991004943848
17,0.9914,0.9914,2.2735817432403564
18,0.9908,0.9914,2.2571635246276855
19,0.9917,0.9917,2.267106771469116
