generation,member_0,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8,member_9,best_so_far,elapsed_sec
0,0.9472,0.9477,0.9342,0.9407,0.9533,0.9462,0.9178,0.939,0.9344,0.9567,0.9567,29.480851650238037
1,0.9705,0.9701,0.9672,0.964,0.9723,0.9699,0.9623,0.971,0.9672,0.9735,0.9735,25.771257400512695
2,0.9774,0.979,0.9778,0.9737,0.9806,0.9785,0.973,0.9793,0.9778,0.9784,0.9806,25.66118049621582
3,0.9809,0.9828,0.9827,0.9788,0.9835,0.9807,0.9802,0.9833,0.9792,0.9836,0.9836,25.929129362106323
4,0.9854,0.9848,0.9847,0.9823,0.9849,0.983,0.9818,0.9856,0.9842,0.9853,0.9856,17.434489488601685
5,0.9862,0.9865,0.9864,0.9851,0.9872,0.9854,0.9858,0.9857,0.9857,0.9881,0.9881,12.850243330001831
6,0.986,0.9879,0.988,0.9859,0.9892,0.9877,0.9859,0.9875,0.9869,0.9876,0.9892,12.86381721496582
7,0.9884,0.9875,0.9883,0.9877,0.9889,0.988,0.9878,0.9888,0.9877,0.9886,0.9892,12.868497848510742
8,0.9894,0.9886,0.9904,0.9884,0.9894,0.9877,0.9878,0.9887,0.989,0.9893,0.9904,12.873162746429443
9,0.9898,0.9891,0.9903,0.9885,0.9906,0.9895,0.989,0.9893,0.9884,0.9897,0.9906,12.870365619659424
10,0.9904,0.9898,0.9903,0.9899,0.9899,0.9895,0.9891,0.9904,0.9897,0.9903,0.9906,12.830850839614868
11,0.9894,0.99,0.9899,0.9887,0.9892,0.9904,0.9897,0.9897,0.988,0.9909,0.9909,12.840683221817017
12,0.991,0.9902,0.9894,0.9909,0.9904,0.9902,0.9906,0.9904,0.9895,0.99,0.991,12.938533544540405
13,0.9915,0.9912,0.9904,0.9902,0.9912,0.9908,0.9912,0.9911,0.9901,0.991,0.9915,12.82970118522644
14,0.9911,0.9911,0.9908,0.9902,0.991,0.9908,0.9904,0.9908,0.9904,0.9911,0.9915,12.91374397277832
15,0.9913,0.991,0.9913,0.9904,0.9918,0.9909,0.991,0.992,0.9897,0.9914,0.992,12.846281051635742
16,0.9917,0.9915,0.9918,0.9917,0.9915,0.9907,0.9909,0.9917,0.9906,0.9904,0.992,12.85433316230774
17,0.9915,0.9909,0.9904,0.9903,0.9919,0.9894,0.9904,0.9909,0.9907,0.9913,0.992,12.859386444091797
18,0.9913,0.9909,0.9906,0.9915,0.992,0.9907,0.9914,0.9909,0.9906,0.9912,0.992,12.921003818511963
19,0.992,0.9914,0.9919,0.9917,0.9915,0.9918,0.9917,0.9922,0.9913,0.9914,0.9922,12.822383880615234
