generation,member_0,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8,member_9,best_so_far,elapsed_sec
0,0.937,0.935,0.9422,0.9383,0.9396,0.9497,0.9304,0.9394,0.9396,0.9454,0.9497,18.6778347492218
1,0.9547,0.7799,0.9581,0.9616,0.9602,0.9738,0.9258,0.9685,0.9604,0.9601,0.9738,11.763209819793701
2,0.9736,0.9548,0.9226,0.8267,0.9713,0.9777,0.963,0.1135,0.9631,0.9598,0.9777,11.755620002746582
3,0.9721,0.9747,0.529,0.9713,0.9617,0.9826,0.9559,0.9565,0.9677,0.9743,0.9826,11.771709442138672
4,0.9669,0.9572,0.972,0.9722,0.7334,0.9844,0.9605,0.9788,0.9698,0.9696,0.9844,11.776618242263794
5,0.9581,0.9441,0.9741,0.9775,0.7864,0.9879,0.9561,0.9755,0.9479,0.9575,0.9879,11.79331922531128
6,0.9668,0.9398,0.9728,0.969,0.9017,0.9873,0.9747,0.9874,0.9672,0.9801,0.9879,11.86408519744873
7,0.9615,0.9724,0.9506,0.1135,0.966,0.9814,0.9365,0.9883,0.9718,0.9822,0.9883,11.744271516799927
8,0.932,0.9606,0.9431,0.9745,0.9622,0.9805,0.981,0.9892,0.9762,0.9794,0.9892,11.791595935821533
9,0.9582,0.9663,0.1135,0.9742,0.9693,0.9626,0.9402,0.9885,0.9768,0.9421,0.9892,11.75434398651123
10,0.965,0.917,0.9882,0.9717,0.7867,0.9593,0.9749,0.989,0.9642,0.8455,0.9892,11.803346157073975
11,0.9716,0.977,0.9726,0.9123,0.9552,0.1135,0.1135,0.9889,0.9884,0.8884,0.9892,11.785484075546265
12,0.8808,0.9645,0.6876,0.9816,0.9311,0.9647,0.9887,0.9888,0.1028,0.9379,0.9892,11.782812118530273
13,0.857,0.9682,0.9577,0.9166,0.9793,0.6763,0.9745,0.9885,0.9781,0.9588,0.9892,11.767580270767212
14,0.8858,0.9732,0.8845,0.9682,0.9678,0.929,0.9108,0.9892,0.9746,0.9687,0.9892,11.799681186676025
15,0.9377,0.8678,0.9218,0.9567,0.8995,0.9737,0.1135,0.9899,0.9658,0.8177,0.9899,11.78731107711792
16,0.9829,0.1135,0.9047,0.9173,0.9811,0.8551,0.969,0.9893,0.8691,0.9455,0.9899,11.792739152908325
17,0.9846,0.9354,0.9537,0.1141,0.9661,0.9826,0.9133,0.9898,0.9768,0.9861,0.9899,11.760210752487183
18,0.6084,0.2292,0.5972,0.9843,0.973,0.9839,0.9683,0.9894,0.9779,0.971,0.9899,11.76176404953003
19,0.9772,0.9609,0.5414,0.6567,0.9768,0.8583,0.9843,0.99,0.9787,0.9663,0.99,11.756960391998291
