generation,member_0,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8,member_9,best_so_far,elapsed_sec
0,0.9367,0.9272,0.9366,0.9397,0.9298,0.95,0.9137,0.938,0.9458,0.943,0.95,18.54144024848938
1,0.9643,0.9643,0.9665,0.9642,0.9607,0.9737,0.9598,0.9694,0.9685,0.968,0.9737,11.518555402755737
2,0.9741,0.9764,0.9758,0.9745,0.9731,0.9755,0.9752,0.978,0.9768,0.9758,0.978,11.538284540176392
3,0.9808,0.9807,0.9816,0.9813,0.9768,0.9817,0.9804,0.9823,0.9827,0.9818,0.9827,11.524621963500977
4,0.9831,0.9839,0.9855,0.9842,0.9796,0.9855,0.9844,0.9832,0.9847,0.9832,0.9855,11.538036584854126
5,0.9844,0.9873,0.9869,0.9865,0.9847,0.9871,0.9852,0.987,0.9859,0.985,0.9873,11.525768756866455
6,0.9868,0.9889,0.9883,0.9874,0.9858,0.9856,0.9869,0.9873,0.9888,0.9871,0.9889,11.642650365829468
7,0.9871,0.9876,0.9887,0.9884,0.9876,0.9879,0.9873,0.9884,0.9884,0.9876,0.9889,11.534403085708618
8,0.989,0.9894,0.9895,0.9893,0.9889,0.9892,0.9886,0.989,0.9886,0.9888,0.9895,11.617919445037842
9,0.9904,0.9892,0.9902,0.9887,0.9878,0.9892,0.9887,0.9894,0.99,0.989,0.9904,11.617208003997803
10,0.9898,0.9893,0.9901,0.9889,0.9883,0.9898,0.9892,0.9896,0.9901,0.9909,0.9909,11.595118045806885
11,0.9905,0.9897,0.991,0.9906,0.9894,0.9886,0.9893,0.991,0.9906,0.9885,0.991,11.584134817123413
12,0.9904,0.9903,0.9907,0.9898,0.9885,0.9902,0.9905,0.9908,0.9908,0.9904,0.991,11.610654830932617
13,0.9913,0.9899,0.9908,0.9904,0.9892,0.9907,0.9904,0.9903,0.9904,0.9905,0.9913,11.554270267486572
14,0.9907,0.9898,0.9918,0.9908,0.9893,0.9899,0.9906,0.9906,0.991,0.9909,0.9918,11.578916311264038
15,0.9912,0.9904,0.9916,0.9905,0.9903,0.9907,0.9909,0.991,0.9915,0.9909,0.9918,11.571338891983032
16,0.9915,0.9907,0.992,0.992,0.9903,0.9896,0.9918,0.9918,0.9912,0.9919,0.992,11.572662115097046
17,0.992,0.9915,0.9913,0.9912,0.9898,0.9901,0.9904,0.9909,0.9918,0.9909,0.992,11.570776462554932
18,0.9911,0.9909,0.9923,0.9918,0.9911,0.9899,0.9908,0.9903,0.9918,0.9917,0.9923,11.599576711654663
19,0.9923,0.9915,0.9924,0.9921,0.9915,0.9912,0.9913,0.9919,0.9916,0.9921,0.9924,11.537338495254517
