generation,member_0,best_so_far,elapsed_sec
0,0.4549,0.4549,27.33222508430481
1,0.5169,0.5169,2.1099493503570557
2,0.5479,0.5479,2.106149673461914
3,0.5782,0.5782,2.1500000953674316
4,0.595,0.595,2.0913281440734863
5,0.6129,0.6129,2.1261749267578125
6,0.6343,0.6343,2.1315548419952393
7,0.6432,0.6432,2.1491339206695557
8,0.6391,0.6432,2.080453872680664
9,0.6642,0.6642,2.0782816410064697
10,0.6748,0.6748,2.1378583908081055
11,0.6767,0.6767,2.089306116104126
12,0.6851,0.6851,2.1129748821258545
13,0.6873,0.6873,2.0633246898651123
14,0.6875,0.6875,2.138742685317993
15,0.6943,0.6943,2.0842535495758057
16,0.6978,0.6978,2.0697567462921143
17,0.7054,0.7054,2.0958287715911865
18,0.7054,0.7054,2.0948121547698975
19,0.7144,0.7144,2.112292766571045
20,0.7142,0.7144,2.0972862243652344
21,0.7147,0.7147,2.1284537315368652
22,0.7069,0.7147,2.0826125144958496
23,0.7105,0.7147,2.1111462116241455
24,0.721,0.721,2.139981985092163
25,0.7269,0.7269,2.1048505306243896
26,0.7222,0.7269,2.1288363933563232
27,0.7241,0.7269,2.110170841217041
28,0.7341,0.7341,2.1558022499084473
29,0.7303,0.7341,2.1031100749969482
30,0.7384,0.7384,2.1296396255493164
31,0.7341,0.7384,2.100364923477173
32,0.7365,0.7384,2.089803457260132
33,0.7383,0.7384,2.131194829940796
34,0.7415,0.7415,2.076381206512451
35,0.7389,0.7415,2.0801262855529785
36,0.742,0.742,2.070068120956421
37,0.7416,0.742,2.17714524269104
38,0.7451,0.7451,2.091560125350952
39,0.7462,0.7462,2.166031837463379
