generation,member_0,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8,member_9,best_so_far,elapsed_sec
0,0.4563,0.4551,0.4653,0.4591,0.4572,0.4659,0.4638,0.4499,0.4576,0.4722,0.4722,46.53677177429199
1,0.4641,0.1517,0.4858,0.4824,0.5025,0.2586,0.5094,0.4811,0.4821,0.525,0.525,21.505393266677856
2,0.5233,0.4971,0.4039,0.3083,0.5403,0.4708,0.2174,0.4791,0.4554,0.5531,0.5531,21.493085861206055
3,0.4426,0.5465,0.4356,0.5749,0.4096,0.5473,0.4797,0.5703,0.4603,0.5732,0.5749,21.282549142837524
4,0.4245,0.3635,0.4854,0.5896,0.5876,0.1958,0.4494,0.5929,0.4892,0.4726,0.5929,21.74520778656006
5,0.2005,0.345,0.534,0.4005,0.3337,0.4815,0.0976,0.592,0.4614,0.5166,0.5929,21.620912790298462
6,0.5465,0.414,0.4984,0.4761,0.26,0.4263,0.5222,0.6134,0.6072,0.5832,0.6134,21.638211011886597
7,0.5581,0.4449,0.5282,0.1181,0.4637,0.5363,0.4625,0.6276,0.6236,0.5413,0.6276,21.63349461555481
8,0.1038,0.5489,0.194,0.1404,0.5081,0.5908,0.4967,0.6345,0.6342,0.5691,0.6345,21.758280515670776
9,0.5838,0.5108,0.5072,0.4316,0.4722,0.6148,0.6176,0.6352,0.6244,0.6007,0.6352,21.6584734916687
10,0.5178,0.2299,0.6392,0.6245,0.2603,0.5507,0.5679,0.6377,0.629,0.2325,0.6392,21.816946029663086
11,0.4484,0.443,0.6478,0.5257,0.6193,0.6325,0.6242,0.4036,0.6326,0.5872,0.6478,21.977282762527466
12,0.5998,0.5714,0.6595,0.6045,0.5626,0.3376,0.6393,0.6439,0.2755,0.3184,0.6595,22.32090473175049
13,0.4859,0.4729,0.6548,0.26,0.614,0.6458,0.1143,0.6463,0.6231,0.1,0.6595,22.012401819229126
14,0.5298,0.0959,0.6648,0.2993,0.5999,0.6585,0.2883,0.6087,0.5739,0.3875,0.6648,21.84416699409485
15,0.3508,0.1526,0.6691,0.252,0.1,0.5495,0.5526,0.4287,0.4991,0.0998,0.6691,21.91113829612732
16,0.5784,0.4307,0.6665,0.5641,0.5339,0.4714,0.5497,0.4344,0.524,0.2573,0.6691,21.735941648483276
17,0.6029,0.5677,0.6752,0.4014,0.4968,0.4068,0.5748,0.5892,0.5183,0.5742,0.6752,21.700672149658203
18,0.4606,0.2504,0.6753,0.1047,0.4108,0.5945,0.5754,0.5698,0.4144,0.5755,0.6753,21.510300874710083
19,0.6016,0.4752,0.678,0.1134,0.1,0.5947,0.4016,0.4721,0.4607,0.4569,0.678,21.805722951889038
20,0.566,0.5155,0.6799,0.4894,0.317,0.4627,0.4672,0.5835,0.4078,0.6056,0.6799,21.464832544326782
21,0.548,0.1321,0.6852,0.5582,0.5701,0.5987,0.1,0.595,0.4485,0.1728,0.6852,21.516472101211548
22,0.6171,0.6828,0.6919,0.6025,0.1006,0.6903,0.1896,0.2146,0.6039,0.1247,0.6919,21.43069624900818
23,0.6069,0.6133,0.6941,0.6185,0.1953,0.191,0.2569,0.2347,0.1136,0.6003,0.6941,21.57152795791626
24,0.611,0.4526,0.6942,0.3783,0.61,0.6195,0.1362,0.6139,0.578,0.5959,0.6942,22.046999216079712
25,0.6006,0.1009,0.703,0.6273,0.5947,0.6165,0.4083,0.6343,0.6125,0.6279,0.703,21.80330538749695
26,0.1007,0.4564,0.699,0.6113,0.6241,0.2401,0.6095,0.6231,0.5475,0.4194,0.703,21.762102603912354
27,0.1001,0.5042,0.7056,0.7067,0.6108,0.1526,0.1335,0.2037,0.1676,0.6541,0.7067,22.018425464630127
28,0.6644,0.7105,0.1826,0.707,0.1383,0.1004,0.3841,0.1062,0.1305,0.6239,0.7105,22.145649671554565
29,0.6893,0.7105,0.1449,0.6585,0.7093,0.1476,0.2412,0.1019,0.5749,0.667,0.7105,21.93550705909729
30,0.6105,0.7101,0.6046,0.7013,0.448,0.1,0.2362,0.3571,0.7056,0.4366,0.7105,22.11074995994568
31,0.1836,0.7136,0.1007,0.1086,0.7028,0.3196,0.4859,0.1782,0.6291,0.3864,0.7136,21.838524341583252
32,0.3041,0.7107,0.5791,0.1069,0.7082,0.142,0.6275,0.7072,0.435,0.6953,0.7136,21.944428205490112
33,0.4631,0.7141,0.557,0.2763,0.1766,0.433,0.7052,0.1059,0.4716,0.7051,0.7141,22.587580919265747
34,0.5148,0.7123,0.4912,0.6539,0.1321,0.6294,0.2882,0.1163,0.1972,0.7002,0.7141,21.964118719100952
35,0.4302,0.714,0.5533,0.7052,0.5744,0.5511,0.5481,0.1404,0.6434,0.1238,0.7141,21.925295114517212
36,0.6477,0.7141,0.69,0.4554,0.5714,0.7094,0.7069,0.3366,0.7115,0.7048,0.7141,21.841680765151978
37,0.2085,0.7122,0.4844,0.6383,0.1139,0.7147,0.5765,0.3852,0.4519,0.6877,0.7147,21.86144757270813
38,0.1,0.5193,0.4267,0.0999,0.713,0.716,0.6823,0.6597,0.6493,0.6895,0.716,22.33769178390503
39,0.4818,0.1446,0.7044,0.4489,0.3739,0.7157,0.667,0.6692,0.5687,0.7054,0.716,22.240501403808594
