generation,member_0,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8,member_9,best_so_far,elapsed_sec
0,0.4568,0.4565,0.4611,0.4523,0.4701,0.4604,0.4572,0.4621,0.4621,0.47,0.4701,46.8929078578949
1,0.5016,0.5069,0.5131,0.5052,0.5069,0.5029,0.5137,0.5253,0.5056,0.5265,0.5265,22.303224325180054
2,0.5426,0.5311,0.5364,0.5367,0.5407,0.5492,0.543,0.562,0.5283,0.5546,0.562,22.617927074432373
3,0.5604,0.5581,0.5685,0.5676,0.5746,0.5796,0.5792,0.5784,0.5672,0.5753,0.5796,22.41662883758545
4,0.5951,0.5938,0.5962,0.5815,0.5929,0.6084,0.5964,0.6052,0.5887,0.6022,0.6084,22.63113522529602
5,0.6217,0.6245,0.6201,0.6055,0.6191,0.6255,0.6159,0.6097,0.6074,0.6152,0.6255,22.658022165298462
6,0.6307,0.637,0.6337,0.6246,0.6355,0.6343,0.6345,0.6257,0.6284,0.6295,0.637,22.107083320617676
7,0.6482,0.6465,0.6501,0.638,0.6424,0.65,0.6453,0.6451,0.6371,0.6344,0.6501,22.203784465789795
8,0.6502,0.6516,0.6501,0.6468,0.655,0.6489,0.6486,0.646,0.6548,0.645,0.655,22.267853021621704
9,0.6602,0.6576,0.6699,0.6481,0.6616,0.6615,0.6628,0.6561,0.6562,0.6623,0.6699,21.675963640213013
10,0.6687,0.6685,0.6663,0.6689,0.6673,0.677,0.6708,0.67,0.6655,0.6656,0.677,21.637943983078003
11,0.6808,0.6711,0.6743,0.6738,0.6743,0.6804,0.6733,0.6771,0.6751,0.6694,0.6808,21.539456605911255
12,0.6795,0.6749,0.6843,0.6878,0.6678,0.6827,0.6773,0.6844,0.6823,0.6767,0.6878,21.665249347686768
13,0.6871,0.6779,0.6847,0.688,0.6815,0.6884,0.6825,0.6809,0.6845,0.6827,0.6884,22.068159818649292
14,0.6972,0.6838,0.693,0.6911,0.685,0.6933,0.6906,0.689,0.696,0.6907,0.6972,22.115098476409912
15,0.6985,0.6911,0.6886,0.6967,0.6949,0.6975,0.693,0.6848,0.6959,0.6844,0.6985,21.82390522956848
16,0.7025,0.6913,0.7005,0.7,0.6961,0.7009,0.6996,0.6833,0.6924,0.6933,0.7025,22.49303150177002
17,0.7024,0.6925,0.7058,0.7051,0.6963,0.7031,0.7012,0.6942,0.6947,0.697,0.7058,22.039812088012695
18,0.7069,0.6938,0.7061,0.7035,0.6987,0.7107,0.705,0.6975,0.7013,0.6984,0.7107,22.3784077167511
19,0.7052,0.7009,0.6992,0.7039,0.7035,0.7045,0.7113,0.7003,0.7112,0.7039,0.7113,22.531636238098145
20,0.7166,0.7026,0.7081,0.7102,0.7118,0.717,0.7138,0.6966,0.7064,0.7058,0.717,22.34668278694153
21,0.7104,0.7103,0.7142,0.7128,0.7071,0.7194,0.7157,0.7052,0.7106,0.6995,0.7194,22.701707124710083
22,0.7155,0.7094,0.7188,0.7133,0.7155,0.7121,0.7128,0.7069,0.7111,0.7112,0.7194,22.112709522247314
23,0.7197,0.7126,0.7206,0.718,0.7045,0.7218,0.7155,0.713,0.7131,0.707,0.7218,22.065348625183105
24,0.7215,0.7178,0.7204,0.7184,0.7178,0.7218,0.7165,0.7061,0.7214,0.716,0.7218,21.952988386154175
25,0.7231,0.7159,0.7229,0.7216,0.719,0.7212,0.7178,0.7167,0.7231,0.7176,0.7231,21.91115093231201
26,0.7225,0.7167,0.7272,0.7267,0.7159,0.7209,0.7274,0.7121,0.7224,0.713,0.7274,21.712438106536865
27,0.7222,0.7173,0.7257,0.7234,0.7225,0.7239,0.7243,0.7191,0.7199,0.7087,0.7274,22.357423782348633
28,0.7255,0.723,0.7237,0.7247,0.7277,0.7312,0.7255,0.7243,0.7284,0.7191,0.7312,21.98857045173645
29,0.7307,0.7216,0.7261,0.7262,0.7235,0.726,0.7233,0.7227,0.7295,0.7268,0.7312,21.953613996505737
30,0.7351,0.724,0.7329,0.7295,0.7207,0.7307,0.7304,0.7227,0.7263,0.7208,0.7351,21.985419511795044
31,0.7347,0.7249,0.7339,0.7324,0.731,0.738,0.7344,0.7203,0.7272,0.7235,0.738,21.973284244537354
32,0.7326,0.7274,0.7315,0.7318,0.7339,0.7361,0.7231,0.7295,0.736,0.7318,0.738,22.47342014312744
33,0.7293,0.7239,0.7331,0.7292,0.7314,0.7385,0.7335,0.7284,0.737,0.7315,0.7385,22.43450379371643
34,0.7338,0.7262,0.7293,0.7343,0.7272,0.7432,0.7372,0.728,0.7384,0.7357,0.7432,23.600290060043335
35,0.7364,0.7307,0.7334,0.7347,0.7269,0.737,0.7261,0.7326,0.7387,0.7351,0.7432,22.239614963531494
36,0.734,0.7298,0.7384,0.7422,0.7417,0.7432,0.7405,0.7303,0.738,0.7288,0.7432,22.29511547088623
37,0.7369,0.7276,0.7364,0.7391,0.7253,0.7376,0.7368,0.7313,0.7437,0.7337,0.7437,22.124892711639404
38,0.7348,0.7323,0.7391,0.7381,0.7371,0.7391,0.7407,0.7352,0.7399,0.7333,0.7437,22.285979509353638
39,0.7441,0.7387,0.7466,0.7413,0.7395,0.7469,0.7424,0.7341,0.7395,0.7311,0.7469,22.183220624923706
