generation,member_0,best_so_far,elapsed_sec
0,0.7917,0.7917,8.915330171585083
1,0.8304,0.8304,1.1499602794647217
2,0.8482,0.8482,1.1666221618652344
3,0.8547,0.8547,1.1499664783477783
4,0.8641,0.8641,1.149916410446167
5,0.8672,0.8672,1.1500277519226074
6,0.8707,0.8707,1.1666042804718018
7,0.8765,0.8765,1.1850106716156006
8,0.8799,0.8799,1.1475005149841309
9,0.8848,0.8848,1.1662352085113525
10,0.8882,0.8882,1.1499662399291992
11,0.8915,0.8915,1.1783380508422852
12,0.8886,0.8915,1.1383581161499023
13,0.8948,0.8948,1.1668307781219482
14,0.8947,0.8948,1.1496350765228271
15,0.9014,0.9014,1.1499617099761963
16,0.901,0.9014,1.1577656269073486
17,0.9049,0.9049,1.1570944786071777
18,0.9067,0.9067,1.1518127918243408
19,0.9079,0.9079,1.183143138885498
20,0.9079,0.9079,1.1499736309051514
21,0.9086,0.9086,1.1823740005493164
22,0.9117,0.9117,1.1580116748809814
23,0.9114,0.9117,1.1428337097167969
24,0.9154,0.9154,1.1669337749481201
25,0.9138,0.9154,1.1612365245819092
26,0.9166,0.9166,1.1683368682861328
27,0.9171,0.9171,1.169978141784668
28,0.9176,0.9176,1.1499793529510498
29,0.9206,0.9206,1.166644811630249
30,0.9214,0.9214,1.16660475730896
31,0.9167,0.9214,1.1504127979278564
32,0.9199,0.9214,1.166163444519043
33,0.9204,0.9214,1.1499433517456055
34,0.9229,0.9229,1.166973352432251
35,0.9209,0.9229,1.16438889503479
36,0.9242,0.9242,1.153200387954712
37,0.9217,0.9242,1.1819517612457275
38,0.9245,0.9245,1.1499526500701904
39,0.9223,0.9245,1.1666827201843262
