generation,member_0,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8,member_9,best_so_far,elapsed_sec
0,0.7957,0.7924,0.7994,0.7854,0.7884,0.7907,0.8111,0.8074,0.8061,0.803,0.8111,16.413589477539062
1,0.8301,0.8336,0.8331,0.82,0.8137,0.8181,0.8411,0.8286,0.8375,0.8384,0.8411,12.862229347229004
2,0.8488,0.8485,0.8409,0.8402,0.8411,0.85,0.8535,0.8538,0.8502,0.8567,0.8567,13.01153564453125
3,0.8581,0.854,0.8582,0.852,0.8539,0.8535,0.859,0.8603,0.8588,0.8644,0.8644,12.927308082580566
4,0.8671,0.8687,0.8657,0.8602,0.8617,0.8692,0.8683,0.8645,0.8623,0.8727,0.8727,13.108877420425415
5,0.8639,0.8737,0.8741,0.8663,0.8673,0.8727,0.8703,0.8686,0.8748,0.8786,0.8786,12.944042205810547
6,0.8757,0.876,0.8792,0.8711,0.8672,0.8725,0.8784,0.8766,0.8732,0.875,0.8792,12.907379150390625
7,0.8787,0.8814,0.8786,0.8766,0.8755,0.8796,0.8817,0.8808,0.8782,0.8841,0.8841,12.893919706344604
8,0.8823,0.886,0.8818,0.8794,0.8781,0.883,0.8778,0.8817,0.8805,0.8862,0.8862,13.027015686035156
9,0.8818,0.8865,0.8821,0.8827,0.8822,0.8878,0.8888,0.8874,0.8873,0.8918,0.8918,12.927891492843628
10,0.8852,0.8857,0.8907,0.8858,0.8849,0.8934,0.89,0.8893,0.8868,0.8932,0.8934,12.896924257278442
11,0.8923,0.8958,0.8875,0.8867,0.8887,0.8915,0.8885,0.8908,0.8917,0.894,0.8958,12.848244667053223
12,0.8959,0.8946,0.8955,0.8903,0.8893,0.8969,0.892,0.8956,0.886,0.8955,0.8969,13.025466680526733
13,0.8878,0.8989,0.8907,0.895,0.8896,0.9012,0.8988,0.8947,0.8943,0.9052,0.9052,12.792601585388184
14,0.8933,0.9011,0.8982,0.8977,0.8972,0.9008,0.9041,0.8974,0.899,0.9009,0.9052,12.931710004806519
15,0.9025,0.9023,0.9021,0.8996,0.8952,0.9025,0.9051,0.9011,0.9015,0.9063,0.9063,12.896944046020508
16,0.9004,0.9026,0.8977,0.8995,0.8942,0.9033,0.907,0.9011,0.9011,0.9064,0.907,12.869714260101318
17,0.9052,0.9054,0.904,0.9019,0.8969,0.9061,0.9044,0.9042,0.9044,0.9105,0.9105,12.831321477890015
18,0.9064,0.9044,0.9054,0.9031,0.903,0.9077,0.9077,0.9068,0.9047,0.9119,0.9119,12.891894340515137
19,0.9039,0.9064,0.9057,0.9051,0.9041,0.9092,0.9075,0.9059,0.9021,0.9112,0.9119,12.954323291778564
20,0.9107,0.9085,0.9093,0.9075,0.9055,0.9081,0.9122,0.9084,0.9059,0.9109,0.9122,12.854983806610107
21,0.9114,0.9108,0.9126,0.9077,0.9071,0.9086,0.9114,0.9097,0.9076,0.9112,0.9126,12.947221517562866
22,0.9082,0.9089,0.911,0.911,0.9092,0.912,0.9131,0.912,0.911,0.9124,0.9131,12.904455423355103
23,0.9154,0.9143,0.9123,0.9117,0.9094,0.9104,0.913,0.9133,0.9077,0.9164,0.9164,12.858985424041748
24,0.9131,0.9152,0.9107,0.9121,0.9116,0.9139,0.911,0.9128,0.9123,0.9127,0.9164,12.841973781585693
25,0.9147,0.9157,0.9122,0.9104,0.9103,0.9116,0.9163,0.9139,0.9145,0.9187,0.9187,12.826124429702759
26,0.9145,0.9154,0.9162,0.9148,0.912,0.9132,0.916,0.9174,0.9146,0.9155,0.9187,12.921396493911743
27,0.9125,0.9215,0.916,0.9142,0.9143,0.9167,0.9163,0.917,0.9129,0.9207,0.9215,12.873600721359253
28,0.9159,0.9162,0.9166,0.9177,0.9148,0.9163,0.9185,0.9157,0.9141,0.9209,0.9215,12.93861198425293
29,0.9189,0.9119,0.9182,0.9157,0.9162,0.9166,0.9165,0.918,0.9159,0.9196,0.9215,12.906717777252197
30,0.9192,0.9211,0.9187,0.9165,0.9139,0.9172,0.92,0.9175,0.9157,0.9224,0.9224,12.937095880508423
31,0.9188,0.923,0.9177,0.9176,0.9178,0.918,0.9226,0.9187,0.9143,0.9233,0.9233,12.868518590927124
32,0.9199,0.9213,0.92,0.9184,0.9185,0.9186,0.9214,0.9195,0.9195,0.9193,0.9233,12.851037979125977
33,0.9212,0.9228,0.9215,0.9182,0.9199,0.9166,0.9217,0.9196,0.9203,0.9247,0.9247,12.805869340896606
34,0.9225,0.9254,0.9195,0.9218,0.9188,0.9211,0.9193,0.9201,0.9199,0.9222,0.9254,12.857691049575806
35,0.9187,0.9217,0.9199,0.9207,0.9201,0.9205,0.9199,0.9204,0.9221,0.9238,0.9254,12.825889587402344
36,0.9246,0.9262,0.9213,0.9201,0.9185,0.9193,0.9229,0.9213,0.921,0.9263,0.9263,12.841361284255981
37,0.924,0.923,0.9234,0.9189,0.9201,0.9215,0.9184,0.9187,0.9201,0.9218,0.9263,12.910820245742798
38,0.9235,0.9169,0.9201,0.9224,0.9189,0.9227,0.9187,0.9199,0.9181,0.9238,0.9263,12.858662128448486
39,0.9234,0.924,0.9228,0.9198,0.9231,0.9191,0.9232,0.9231,0.9214,0.9264,0.9264,12.912527799606323
