generation,member_0,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8,member_9,best_so_far,elapsed_sec
0,0.8017,0.7847,0.7841,0.7952,0.7904,0.8014,0.7816,0.788,0.7861,0.7911,0.8017,18.665642261505127
1,0.822,0.827,0.8166,0.8212,0.8333,0.823,0.8177,0.8322,0.8185,0.8136,0.8333,11.489646434783936
2,0.8378,0.8395,0.845,0.8454,0.8484,0.8465,0.8409,0.8445,0.8431,0.8304,0.8484,11.560281038284302
3,0.8497,0.8529,0.8485,0.8602,0.8563,0.8563,0.8452,0.8532,0.8591,0.8473,0.8602,11.540371894836426
4,0.8571,0.8504,0.8626,0.8608,0.861,0.8667,0.8578,0.8563,0.8644,0.8586,0.8667,11.592566728591919
5,0.8654,0.8626,0.8652,0.8673,0.8654,0.8599,0.863,0.8662,0.8714,0.8627,0.8714,11.599512577056885
6,0.8674,0.8717,0.8745,0.8751,0.8732,0.8726,0.8694,0.8682,0.8695,0.8746,0.8751,11.678354263305664
7,0.8731,0.8768,0.8764,0.8792,0.8795,0.879,0.8708,0.8716,0.8821,0.8791,0.8821,11.579431056976318
8,0.8792,0.8786,0.8839,0.8832,0.8793,0.8854,0.8784,0.8785,0.8703,0.882,0.8854,11.618727922439575
9,0.8822,0.8787,0.8868,0.8836,0.8838,0.8867,0.8841,0.8786,0.8783,0.8874,0.8874,11.57370901107788
10,0.8851,0.8792,0.8857,0.8857,0.8889,0.8926,0.889,0.8898,0.8869,0.89,0.8926,11.575314998626709
11,0.8889,0.8885,0.8873,0.8894,0.8934,0.8898,0.8859,0.8906,0.8874,0.8934,0.8934,11.588485717773438
12,0.8904,0.8914,0.8879,0.8932,0.8929,0.8971,0.8921,0.8924,0.8923,0.8962,0.8971,11.54955530166626
13,0.8907,0.8914,0.8933,0.897,0.8934,0.8972,0.8906,0.8937,0.894,0.8982,0.8982,11.574933290481567
14,0.898,0.8969,0.895,0.8907,0.9012,0.8956,0.8916,0.896,0.8992,0.9005,0.9012,11.57498049736023
15,0.899,0.8928,0.8944,0.8969,0.8974,0.903,0.8968,0.8977,0.9003,0.9003,0.903,11.574925422668457
16,0.8936,0.9014,0.9002,0.8987,0.9004,0.9053,0.9019,0.9023,0.9032,0.9051,0.9053,11.571677684783936
17,0.8986,0.9006,0.9016,0.9017,0.9059,0.9053,0.8973,0.8982,0.9034,0.9068,0.9068,11.562608242034912
18,0.9068,0.9014,0.904,0.9052,0.9057,0.9054,0.9061,0.9021,0.9061,0.9044,0.9068,11.572428703308105
19,0.9065,0.9061,0.9058,0.9075,0.9048,0.9072,0.9034,0.9062,0.9103,0.9101,0.9103,11.573714971542358
20,0.9064,0.9025,0.9066,0.9063,0.9081,0.9093,0.9059,0.9069,0.9105,0.9115,0.9115,11.560853719711304
21,0.9069,0.9087,0.9044,0.9039,0.907,0.9128,0.9078,0.9079,0.909,0.9138,0.9138,11.567615270614624
22,0.91,0.9093,0.9086,0.9063,0.9096,0.9108,0.9078,0.9086,0.9149,0.9125,0.9149,11.598851203918457
23,0.9099,0.9101,0.9102,0.9117,0.9101,0.9155,0.91,0.909,0.9093,0.9146,0.9155,11.606707096099854
24,0.9097,0.9113,0.9098,0.91,0.9137,0.9138,0.9096,0.9077,0.9132,0.9142,0.9155,11.607121229171753
25,0.914,0.9133,0.9121,0.9124,0.9128,0.9164,0.913,0.911,0.913,0.9153,0.9164,11.681982040405273
26,0.9161,0.913,0.914,0.9166,0.9108,0.9153,0.9137,0.9129,0.9163,0.9185,0.9185,11.555422067642212
27,0.9118,0.9155,0.914,0.9128,0.916,0.9156,0.9147,0.9128,0.9157,0.9215,0.9215,11.562321186065674
28,0.9157,0.9138,0.9149,0.9175,0.9156,0.915,0.9157,0.9162,0.9177,0.9182,0.9215,11.54416537284851
29,0.9158,0.9151,0.9157,0.9167,0.918,0.921,0.9166,0.9186,0.9194,0.9218,0.9218,11.562902450561523
30,0.9181,0.9133,0.9184,0.9194,0.9191,0.9175,0.9127,0.9169,0.9168,0.9211,0.9218,11.62367296218872
31,0.9173,0.9178,0.9165,0.9193,0.916,0.921,0.9195,0.9167,0.9236,0.9232,0.9236,11.615553140640259
32,0.9202,0.9163,0.9149,0.9193,0.9193,0.9222,0.9183,0.9175,0.9226,0.9227,0.9236,11.583265542984009
33,0.9196,0.9207,0.9161,0.9203,0.9189,0.9214,0.9185,0.9166,0.9224,0.9221,0.9236,11.555700778961182
34,0.9211,0.9205,0.9186,0.9207,0.9234,0.9245,0.9203,0.9213,0.9254,0.9215,0.9254,11.546017408370972
35,0.9219,0.9192,0.9177,0.9214,0.9222,0.9238,0.9222,0.9226,0.9234,0.925,0.9254,11.57537031173706
36,0.9201,0.9208,0.9179,0.9263,0.922,0.9233,0.9201,0.9197,0.9232,0.927,0.927,11.585132598876953
37,0.9217,0.9209,0.9201,0.924,0.9213,0.9233,0.9233,0.9232,0.9229,0.9257,0.927,11.568413972854614
38,0.9179,0.9186,0.9201,0.9241,0.9233,0.9275,0.9198,0.9229,0.9224,0.9249,0.9275,11.54951810836792
39,0.9226,0.9222,0.9229,0.9239,0.9194,0.924,0.922,0.9214,0.9255,0.9274,0.9275,11.569303035736084
