generation,member_0,best_so_far,elapsed_sec
0,0.4578,0.4578,96.14276599884033
1,0.5186,0.5186,1.891113519668579
2,0.5484,0.5484,1.888556957244873
3,0.5814,0.5814,1.8685414791107178
4,0.5983,0.5983,1.8581719398498535
5,0.612,0.612,1.8292531967163086
6,0.6342,0.6342,1.847996711730957
7,0.6497,0.6497,1.843022346496582
8,0.64,0.6497,1.870225429534912
9,0.6671,0.6671,1.8409106731414795
10,0.6745,0.6745,1.926159143447876
11,0.6772,0.6772,1.8561365604400635
12,0.6832,0.6832,2.001461982727051
13,0.6862,0.6862,1.8737635612487793
14,0.6877,0.6877,1.991565227508545
15,0.6919,0.6919,1.964705467224121
16,0.6931,0.6931,1.9690136909484863
17,0.702,0.702,1.8755755424499512
18,0.7028,0.7028,1.914712905883789
19,0.7113,0.7113,1.868816614151001
20,0.7132,0.7132,1.8655650615692139
21,0.7153,0.7153,1.8532793521881104
22,0.7047,0.7153,1.882077932357788
23,0.7049,0.7153,1.8356266021728516
24,0.7195,0.7195,1.833176851272583
25,0.7246,0.7246,1.8490362167358398
26,0.7253,0.7253,1.8801438808441162
27,0.7237,0.7253,1.825223445892334
28,0.7334,0.7334,1.9336774349212646
29,0.7299,0.7334,2.0175719261169434
30,0.7383,0.7383,1.8832409381866455
31,0.735,0.7383,1.9066059589385986
32,0.7366,0.7383,1.9117608070373535
33,0.7378,0.7383,1.8995356559753418
34,0.7415,0.7415,1.845337152481079
35,0.738,0.7415,1.8505678176879883
36,0.7401,0.7415,1.8797757625579834
37,0.7415,0.7415,1.8436994552612305
38,0.7451,0.7451,1.8242237567901611
39,0.7451,0.7451,1.8037776947021484
40,0.7421,0.7451,1.8353168964385986
41,0.7465,0.7465,1.9310789108276367
42,0.7447,0.7465,1.8483641147613525
43,0.7455,0.7465,1.9544386863708496
44,0.7489,0.7489,1.9822685718536377
45,0.7493,0.7493,1.9835810661315918
46,0.7436,0.7493,1.942126989364624
47,0.7483,0.7493,1.8562424182891846
48,0.7487,0.7493,1.8788831233978271
49,0.749,0.7493,1.8583238124847412
50,0.7463,0.7493,1.8421227931976318
51,0.7535,0.7535,1.880143165588379
52,0.7522,0.7535,1.8388595581054688
53,0.7526,0.7535,1.7965855598449707
54,0.7578,0.7578,1.8132498264312744
55,0.7535,0.7578,1.838273286819458
56,0.757,0.7578,1.913846731185913
57,0.7607,0.7607,1.9396393299102783
58,0.7575,0.7607,1.7819015979766846
59,0.7574,0.7607,1.909285068511963
