generation,member_0,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8,member_9,best_so_far,elapsed_sec
0,0.479,0.4418,0.4738,0.4769,0.4732,0.4785,0.4666,0.472,0.4614,0.4726,0.479,40.0020797252655
1,0.5441,0.5104,0.5143,0.5164,0.5115,0.5212,0.5134,0.4977,0.5118,0.5168,0.5441,21.066869020462036
2,0.5699,0.5475,0.5569,0.5374,0.5523,0.5558,0.5445,0.5596,0.5519,0.5582,0.5699,21.312548637390137
3,0.607,0.5747,0.5812,0.5611,0.5753,0.5698,0.5752,0.5859,0.5864,0.5856,0.607,21.314521312713623
4,0.6224,0.591,0.6021,0.5878,0.6009,0.6011,0.5998,0.6007,0.6007,0.6147,0.6224,21.052202224731445
5,0.6325,0.6132,0.6172,0.6045,0.6191,0.6229,0.6277,0.6216,0.6324,0.6422,0.6422,21.01641297340393
6,0.644,0.6316,0.6302,0.6239,0.6292,0.6426,0.6363,0.6401,0.6287,0.6413,0.644,21.162389278411865
7,0.6451,0.6424,0.6461,0.6441,0.6461,0.6389,0.6507,0.6463,0.6525,0.6484,0.6525,51.31085181236267
8,0.6629,0.6493,0.6507,0.6431,0.6588,0.6559,0.6598,0.6603,0.6642,0.6573,0.6642,65.40792989730835
9,0.6705,0.6569,0.6477,0.6566,0.6599,0.6545,0.6667,0.6618,0.6659,0.6539,0.6705,65.10775113105774
10,0.6779,0.6683,0.6651,0.6674,0.6694,0.6675,0.67,0.6601,0.6687,0.672,0.6779,73.33972382545471
11,0.6827,0.666,0.6744,0.6753,0.6726,0.6786,0.678,0.6687,0.6724,0.6739,0.6827,72.40191411972046
12,0.6858,0.6789,0.6666,0.6763,0.6805,0.6834,0.6729,0.6858,0.6854,0.6781,0.6858,68.10784864425659
13,0.6915,0.6803,0.6811,0.689,0.6862,0.686,0.6892,0.6825,0.689,0.6912,0.6915,66.23017978668213
14,0.6976,0.6862,0.6912,0.6888,0.6889,0.6874,0.6904,0.6885,0.6885,0.6931,0.6976,66.41928386688232
