generation,member_0,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8,member_9,best_so_far,elapsed_sec
0,0.457,0.4533,0.4674,0.4612,0.4562,0.4664,0.4649,0.4544,0.4592,0.4723,0.4723,87.5787889957428
1,0.4647,0.1383,0.4868,0.4899,0.5004,0.2625,0.5096,0.4806,0.4778,0.5257,0.5257,62.535245180130005
2,0.5252,0.4924,0.3985,0.3018,0.5395,0.4698,0.2182,0.4599,0.46,0.5533,0.5533,47.143352031707764
3,0.4421,0.5459,0.4424,0.572,0.4255,0.5468,0.4726,0.5709,0.4615,0.5736,0.5736,62.185731410980225
4,0.4395,0.4168,0.4799,0.5776,0.2018,0.4748,0.587,0.4826,0.4868,0.6034,0.6034,59.213271379470825
5,0.2999,0.2311,0.4724,0.4663,0.1614,0.603,0.4219,0.4353,0.6138,0.6074,0.6138,61.4072699546814
6,0.4152,0.4391,0.4325,0.4608,0.1827,0.1008,0.6221,0.4964,0.6228,0.5311,0.6228,60.145408391952515
7,0.438,0.4466,0.4749,0.1033,0.4435,0.5091,0.5821,0.4425,0.6267,0.4781,0.6267,60.142489194869995
8,0.1581,0.5764,0.1009,0.53,0.4513,0.479,0.504,0.4801,0.6432,0.5014,0.6432,55.78131461143494
9,0.6045,0.5028,0.4453,0.4746,0.431,0.4456,0.4935,0.5333,0.6382,0.493,0.6432,18.917693614959717
10,0.4797,0.2562,0.502,0.479,0.2379,0.4078,0.4773,0.4926,0.6566,0.3153,0.6566,18.5024893283844
11,0.4416,0.4154,0.4965,0.3994,0.6567,0.3943,0.2241,0.503,0.6628,0.4134,0.6628,18.720938205718994
12,0.3706,0.4538,0.4499,0.4376,0.3791,0.4335,0.6643,0.2536,0.6624,0.234,0.6643,59.519256830215454
13,0.395,0.4285,0.2894,0.4266,0.6654,0.1082,0.6671,0.4579,0.3678,0.1983,0.6671,80.71857404708862
14,0.4375,0.6569,0.1821,0.1683,0.3223,0.3115,0.6742,0.4376,0.4608,0.3983,0.6742,85.64359736442566
15,0.2424,0.3776,0.3158,0.3458,0.4535,0.552,0.6722,0.3509,0.1009,0.61,0.6742,85.89581990242004
16,0.6771,0.4694,0.5728,0.6471,0.4089,0.6196,0.6736,0.535,0.6508,0.2767,0.6771,69.96956038475037
17,0.6808,0.6833,0.6486,0.4107,0.3093,0.4521,0.6542,0.5394,0.6344,0.6527,0.6833,55.73753380775452
18,0.6369,0.6815,0.2281,0.0921,0.489,0.6606,0.6776,0.6846,0.4275,0.4651,0.6846,53.91097164154053
19,0.6761,0.6902,0.1269,0.1863,0.6759,0.667,0.4974,0.6833,0.6694,0.4602,0.6902,62.842556953430176
20,0.5723,0.6888,0.4974,0.5654,0.3914,0.6548,0.4536,0.6529,0.6715,0.6818,0.6902,62.657777070999146
21,0.5551,0.6907,0.1924,0.6258,0.5768,0.6424,0.2192,0.6599,0.4884,0.1813,0.6907,19.964833974838257
22,0.6551,0.6892,0.1869,0.6432,0.1012,0.6869,0.1581,0.3175,0.6609,0.5227,0.6907,18.855260133743286
23,0.6141,0.6976,0.6475,0.6743,0.3864,0.6678,0.4309,0.6747,0.2714,0.6677,0.6976,18.779457569122314
24,0.6515,0.6993,0.6715,0.6779,0.6812,0.6945,0.5059,0.6398,0.5215,0.639,0.6993,18.79890275001526
25,0.6585,0.6982,0.1234,0.6954,0.6718,0.6718,0.6843,0.6989,0.6502,0.6833,0.6993,18.935712814331055
26,0.198,0.6937,0.6769,0.6983,0.2466,0.6845,0.6966,0.6967,0.5516,0.6841,0.6993,18.642412900924683
27,0.2742,0.2086,0.683,0.6965,0.695,0.1161,0.5278,0.3076,0.0997,0.6507,0.6993,18.860788583755493
28,0.6755,0.7015,0.1006,0.6979,0.6236,0.1986,0.3433,0.1,0.2001,0.6897,0.7015,18.612691164016724
29,0.6931,0.702,0.2265,0.6189,0.6503,0.192,0.6872,0.2978,0.6939,0.6758,0.702,20.105766773223877
30,0.6972,0.7017,0.5095,0.6981,0.424,0.1,0.2395,0.6944,0.1766,0.4504,0.702,18.916866302490234
