generation,member_0,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8,member_9,best_so_far,elapsed_sec
0,0.4582,0.455,0.4608,0.4524,0.471,0.4614,0.4587,0.4627,0.4616,0.4715,0.4715,61.9032506942749
1,0.5026,0.5035,0.5126,0.5042,0.5071,0.5028,0.512,0.5227,0.5034,0.526,0.526,55.958162784576416
2,0.5428,0.5312,0.5393,0.5372,0.5386,0.549,0.5421,0.5621,0.5255,0.5549,0.5621,38.93963146209717
3,0.5622,0.5569,0.5704,0.5692,0.5752,0.5802,0.5777,0.5779,0.5662,0.5728,0.5802,19.196689128875732
4,0.5961,0.5932,0.5989,0.5817,0.5944,0.6091,0.5936,0.6063,0.5842,0.6031,0.6091,36.86800479888916
5,0.6233,0.6248,0.6219,0.6086,0.6211,0.6298,0.6128,0.6101,0.6096,0.6138,0.6298,41.49734926223755
6,0.6319,0.6375,0.6318,0.6248,0.6378,0.6334,0.6359,0.6248,0.6211,0.6304,0.6378,53.58656597137451
7,0.6489,0.6465,0.6495,0.6383,0.6398,0.6534,0.6468,0.6443,0.6377,0.6321,0.6534,66.32033467292786
8,0.6516,0.6515,0.6522,0.6479,0.6571,0.6482,0.6478,0.644,0.6496,0.6407,0.6571,51.90010476112366
9,0.6576,0.6615,0.6664,0.6487,0.6607,0.664,0.6627,0.654,0.6589,0.6559,0.6664,64.24711465835571
10,0.6658,0.6694,0.6679,0.6682,0.6674,0.6731,0.6699,0.668,0.6677,0.6665,0.6731,57.26474380493164
11,0.6777,0.6725,0.6802,0.6683,0.6774,0.6796,0.6733,0.6734,0.6774,0.6661,0.6802,62.24510192871094
12,0.681,0.6725,0.6856,0.6831,0.6686,0.6822,0.6789,0.683,0.6802,0.6754,0.6856,62.426329135894775
13,0.6855,0.6809,0.689,0.6854,0.6812,0.686,0.6844,0.6818,0.6846,0.6772,0.689,60.99351382255554
14,0.6934,0.6823,0.6933,0.6867,0.6838,0.6897,0.6919,0.6931,0.6915,0.6845,0.6934,61.200363874435425
15,0.6966,0.6927,0.6938,0.6946,0.6943,0.694,0.6931,0.6892,0.6945,0.6826,0.6966,62.26722812652588
16,0.6992,0.6935,0.7019,0.6955,0.6913,0.698,0.7028,0.6876,0.6927,0.6901,0.7028,61.19287443161011
17,0.7023,0.6935,0.7097,0.7045,0.6985,0.7039,0.7032,0.6945,0.6936,0.6926,0.7097,62.484328746795654
18,0.7084,0.6957,0.7093,0.7039,0.698,0.7094,0.7079,0.6986,0.7016,0.6972,0.7097,62.4541232585907
19,0.7054,0.7049,0.7014,0.7054,0.703,0.708,0.7073,0.6991,0.7079,0.7041,0.7097,62.864380836486816
20,0.7141,0.7047,0.7097,0.7075,0.7095,0.7143,0.7119,0.6927,0.7081,0.7005,0.7143,62.651580810546875
21,0.7077,0.7107,0.7174,0.7094,0.7092,0.7209,0.7143,0.7078,0.706,0.7003,0.7209,64.99867463111877
22,0.7115,0.7103,0.7215,0.713,0.7102,0.71,0.7118,0.7077,0.7124,0.7123,0.7215,48.337971925735474
23,0.7129,0.714,0.7228,0.7166,0.7076,0.7214,0.7082,0.7137,0.7066,0.7071,0.7228,18.601953506469727
24,0.7186,0.7191,0.7239,0.7172,0.7185,0.7208,0.7183,0.7094,0.7182,0.713,0.7239,18.80833148956299
