generation,member_0,best_so_far,elapsed_sec
0,0.7907,0.7907,12.928750991821289
1,0.8307,0.8307,1.1652016639709473
2,0.8474,0.8474,1.1736822128295898
3,0.8541,0.8541,1.150710105895996
4,0.866,0.866,1.1322145462036133
5,0.866,0.866,1.1299896240234375
6,0.87,0.87,1.167006254196167
7,0.8768,0.8768,1.1589391231536865
8,0.8793,0.8793,1.1653733253479004
9,0.8837,0.8837,1.1638712882995605
10,0.8884,0.8884,1.1435859203338623
11,0.8909,0.8909,1.1322078704833984
12,0.8878,0.8909,1.128826379776001
13,0.8953,0.8953,1.1180524826049805
14,0.8946,0.8953,1.1298460960388184
15,0.9014,0.9014,1.1282844543457031
16,0.9025,0.9025,1.1213772296905518
17,0.9047,0.9047,1.1390447616577148
18,0.9072,0.9072,1.137854814529419
19,0.9081,0.9081,1.1266913414001465
20,0.9065,0.9081,1.130699872970581
21,0.9079,0.9081,1.1307423114776611
22,0.9096,0.9096,1.1318554878234863
23,0.9123,0.9123,1.142045259475708
24,0.9139,0.9139,1.1235387325286865
25,0.9145,0.9145,1.1494603157043457
26,0.9177,0.9177,1.1436269283294678
27,0.9168,0.9177,1.1548078060150146
28,0.9187,0.9187,1.1458733081817627
29,0.9189,0.9189,1.1676139831542969
30,0.9215,0.9215,1.1470894813537598
31,0.9166,0.9215,1.131976842880249
32,0.9195,0.9215,1.1316771507263184
33,0.921,0.9215,1.1214711666107178
34,0.922,0.922,1.1273517608642578
35,0.9226,0.9226,1.131239891052246
36,0.9228,0.9228,1.137589931488037
37,0.9223,0.9228,1.1255874633789062
38,0.9234,0.9234,1.1310245990753174
39,0.9238,0.9238,1.131484031677246
40,0.9253,0.9253,1.1301071643829346
41,0.925,0.9253,1.1321938037872314
42,0.9244,0.9253,1.1304786205291748
43,0.9222,0.9253,1.1439476013183594
44,0.9259,0.9259,1.1678779125213623
45,0.9235,0.9259,1.1528851985931396
46,0.9266,0.9266,1.1593046188354492
47,0.9237,0.9266,1.1427826881408691
48,0.9237,0.9266,1.7468414306640625
49,0.9264,0.9266,2.208858013153076
50,0.9251,0.9266,2.2120141983032227
51,0.9273,0.9273,2.1812660694122314
52,0.9291,0.9291,2.2147250175476074
53,0.9291,0.9291,2.2010018825531006
54,0.9325,0.9325,2.1289772987365723
55,0.9289,0.9325,3.4724485874176025
56,0.9296,0.9325,3.810234308242798
57,0.9292,0.9325,1.774667501449585
58,0.9289,0.9325,1.1238443851470947
59,0.9281,0.9325,1.126474142074585
